epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6166,0.93528,1.65777,1.14885,0.97864,0.86428,0.97255,0.72146,0.80924,1.95162,1.10645,0.000654088,0.000654088,0.000654088
2,27.7708,0.83865,0.97642,1.05513,0.93495,0.92925,0.95327,0.68432,0.95099,0.95757,1.20693,0.00130768,0.00130768,0.00130768
3,38.8931,0.85051,0.86276,1.04864,0.88124,0.96698,0.961,0.69943,0.90504,1.07355,1.255,0.00194807,0.00194807,0.00194807
4,51.1923,0.84892,0.75932,1.0701,0.91898,0.96306,0.97816,0.73304,0.87825,0.78891,1.15503,0.0019406,0.0019406,0.0019406
5,64.7953,0.82224,0.67004,1.03535,0.93105,0.95539,0.97528,0.73755,0.8593,0.74486,1.17473,0.0019208,0.0019208,0.0019208
6,77.1228,0.77721,0.58949,1.0277,0.97612,0.98113,0.99137,0.76095,0.75872,0.49392,1.09444,0.001901,0.001901,0.001901
7,89.2892,0.74822,0.55528,1.01129,0.95785,0.96479,0.98244,0.77639,0.73921,0.52579,1.0462,0.0018812,0.0018812,0.0018812
8,103.121,0.73531,0.5214,1.00145,0.97633,0.98113,0.98119,0.7562,0.77699,0.45714,1.07821,0.0018614,0.0018614,0.0018614
9,117.074,0.69936,0.52593,0.99084,0.96698,0.98113,0.98948,0.81507,0.66208,0.46354,0.99903,0.0018416,0.0018416,0.0018416
10,130.669,0.70284,0.4902,0.987,0.95186,0.96226,0.983,0.76692,0.74472,0.50927,1.07351,0.0018218,0.0018218,0.0018218
11,144.959,0.68802,0.4902,0.99189,0.94134,0.94811,0.98025,0.76997,0.75341,0.49149,1.06605,0.001802,0.001802,0.001802
12,159.483,0.68326,0.46815,0.98579,0.98103,0.97555,0.99227,0.79145,0.68751,0.43692,1.02196,0.0017822,0.0017822,0.0017822
13,173.16,0.6737,0.45822,0.97932,0.95317,0.98113,0.98485,0.81283,0.6574,0.44412,1.01323,0.0017624,0.0017624,0.0017624
14,185.945,0.67503,0.45569,0.97403,0.97021,0.97642,0.99109,0.80727,0.69138,0.41583,1.01525,0.0017426,0.0017426,0.0017426
15,198.755,0.65498,0.45043,0.97341,0.9857,0.97575,0.99225,0.8336,0.63887,0.39666,1.00268,0.0017228,0.0017228,0.0017228
16,210.932,0.63244,0.43285,0.95792,0.98117,0.99057,0.99305,0.82121,0.66937,0.37043,1.01849,0.001703,0.001703,0.001703
17,223.246,0.63768,0.43062,0.9569,0.95783,0.97642,0.98883,0.81631,0.67237,0.41556,0.99596,0.0016832,0.0016832,0.0016832
18,235.472,0.64658,0.43065,0.96567,0.96869,0.96226,0.98754,0.81617,0.63644,0.40517,0.99479,0.0016634,0.0016634,0.0016634
19,247.499,0.61406,0.4078,0.94765,0.97627,0.97642,0.98935,0.82862,0.62396,0.36965,0.98447,0.0016436,0.0016436,0.0016436
20,260.595,0.63887,0.40809,0.95258,0.97907,0.99057,0.98939,0.81642,0.64273,0.37292,0.99135,0.0016238,0.0016238,0.0016238
21,273.399,0.64687,0.40951,0.96488,0.99522,0.98258,0.99372,0.83474,0.59738,0.34959,0.97077,0.001604,0.001604,0.001604
22,285.387,0.59474,0.39462,0.94402,0.97678,0.99232,0.99457,0.83203,0.66375,0.35507,1.01219,0.0015842,0.0015842,0.0015842
23,297.88,0.60162,0.39671,0.94927,0.97578,0.99057,0.99361,0.85145,0.60439,0.34952,0.97276,0.0015644,0.0015644,0.0015644
24,311.149,0.59992,0.39732,0.95134,0.98485,0.98585,0.99274,0.83367,0.64015,0.37498,0.98443,0.0015446,0.0015446,0.0015446
